Arduino: Pronto para conectar. Aguardando 'START' do PC...
Arduino: Timeout! Nao recebeu 'START'. Reiniciando...
---------- INICIANDO SENSOR ALCOHOL 3 ---------
ValorADC, TensÃ£o V, ResistÃªncia Sentida, ppm Etanol, TÂºC, Humidade %
11, 0.01, 1744.98, 0.23, 29.91, 86.41
11, 0.01, 1744.98, 0.23, 29.91, 86.40
11, 0.01, 1744.98, 0.23, 29.91, 86.40
11, 0.01, 1744.98, 0.23, 29.93, 86.37
11, 0.01, 1744.98, 0.23, 29.93, 86.39
11, 0.01, 1744.98, 0.23, 29.94, 86.37
11, 0.01, 1744.98, 0.23, 29.95, 86.37
11, 0.01, 1744.98, 0.23, 29.95, 86.36
11, 0.01, 1744.98, 0.23, 29.97, 86.37
11, 0.01, 1744.98, 0.23, 29.96, 86.41
11, 0.01, 1744.98, 0.23, 29.97, 86.33
11, 0.01, 1744.98, 0.23, 29.97, 86.39
11, 0.01, 1744.98, 0.23, 29.98, 86.37
11, 0.01, 1744.98, 0.23, 29.98, 86.39
11, 0.01, 1744.98, 0.23, 29.99, 86.40
11, 0.01, 1744.98, 0.23, 29.99, 86.38
11, 0.01, 1744.98, 0.23, 29.99, 86.37
11, 0.01, 1744.98, 0.23, 30.00, 86.36
11, 0.01, 1744.98, 0.23, 30.00, 86.39
11, 0.01, 1744.98, 0.23, 30.01, 86.38
11, 0.01, 1744.98, 0.23, 30.02, 86.36
11, 0.01, 1744.98, 0.23, 30.02, 86.36
11, 0.01, 1744.98, 0.23, 30.05, 86.34
11, 0.01, 1744.98, 0.23, 30.03, 86.29
11, 0.01, 1744.98, 0.23, 30.04, 86.34
11, 0.01, 1744.98, 0.23, 30.06, 86.35
11, 0.01, 1744.98, 0.23, 30.06, 86.34
11, 0.01, 1744.98, 0.23, 30.06, 86.33
11, 0.01, 1744.98, 0.23, 30.07, 86.35
11, 0.01, 1744.98, 0.23, 30.07, 86.36
11, 0.01, 1744.98, 0.23, 30.07, 86.35
11, 0.01, 1744.98, 0.23, 30.09, 86.32
11, 0.01, 1744.98, 0.23, 30.09, 86.36
11, 0.01, 1744.98, 0.23, 30.09, 86.34
11, 0.01, 1744.98, 0.23, 30.10, 86.32
11, 0.01, 1744.98, 0.23, 30.11, 86.30
11, 0.01, 1744.98, 0.23, 30.11, 86.31
11, 0.01, 1744.98, 0.23, 30.12, 86.31
11, 0.01, 1744.98, 0.23, 30.13, 86.32
11, 0.01, 1744.98, 0.23, 30.13, 86.31
11, 0.01, 1744.98, 0.23, 30.13, 86.28
11, 0.01, 1744.98, 0.23, 30.14, 86.31
11, 0.01, 1744.98, 0.23, 30.15, 86.31
11, 0.01, 1744.98, 0.23, 30.15, 86.30
11, 0.01, 1744.98, 0.23, 30.16, 86.28
11, 0.01, 1744.98, 0.23, 30.18, 86.32
11, 0.01, 1744.98, 0.23, 30.17, 86.26
11, 0.01, 1744.98, 0.23, 30.18, 86.28
11, 0.01, 1744.98, 0.23, 30.19, 86.26
11, 0.01, 1744.98, 0.23, 30.20, 86.26
11, 0.01, 1744.98, 0.23, 30.19, 86.27
11, 0.01, 1744.98, 0.23, 30.21, 86.27
11, 0.01, 1744.98, 0.23, 30.21, 86.25
11, 0.01, 1744.98, 0.23, 30.23, 86.21
11, 0.01, 1744.98, 0.23, 30.23, 86.25
11, 0.01, 1744.98, 0.23, 30.23, 86.25
11, 0.01, 1744.98, 0.23, 30.23, 86.25
11, 0.01, 1744.98, 0.23, 30.24, 86.25
11, 0.01, 1744.98, 0.23, 30.24, 86.26
11, 0.01, 1744.98, 0.23, 30.26, 86.21
11, 0.01, 1744.98, 0.23, 30.26, 86.25
11, 0.01, 1744.98, 0.23, 30.26, 86.24
11, 0.01, 1744.98, 0.23, 30.27, 86.21
11, 0.01, 1744.98, 0.23, 30.28, 86.24
11, 0.01, 1744.98, 0.23, 30.27, 86.24
11, 0.01, 1744.98, 0.23, 30.29, 86.24
11, 0.01, 1744.98, 0.23, 30.29, 86.24
11, 0.01, 1744.98, 0.23, 30.30, 86.24
11, 0.01, 1744.98, 0.23, 30.30, 86.20
11, 0.01, 1744.98, 0.23, 30.30, 86.22
11, 0.01, 1744.98, 0.23, 30.31, 86.21
11, 0.01, 1744.98, 0.23, 30.33, 86.22
11, 0.01, 1744.98, 0.23, 30.33, 86.20
11, 0.01, 1744.98, 0.23, 30.35, 86.19
11, 0.01, 1744.98, 0.23, 30.35, 86.18
11, 0.01, 1744.98, 0.23, 30.36, 86.17
11, 0.01, 1744.98, 0.23, 30.35, 86.18
11, 0.01, 1744.98, 0.23, 30.36, 86.14
11, 0.01, 1744.98, 0.23, 30.36, 86.17
11, 0.01, 1744.98, 0.23, 30.38, 86.14
11, 0.01, 1744.98, 0.23, 30.38, 86.15
11, 0.01, 1744.98, 0.23, 30.39, 86.17
11, 0.01, 1744.98, 0.23, 30.39, 86.14
11, 0.01, 1744.98, 0.23, 30.40, 86.15
11, 0.01, 1744.98, 0.23, 30.40, 86.13
11, 0.01, 1744.98, 0.23, 30.41, 86.11
11, 0.01, 1744.98, 0.23, 30.42, 86.12
11, 0.01, 1744.98, 0.23, 30.43, 86.09
11, 0.01, 1744.98, 0.23, 30.43, 86.07
11, 0.01, 1744.98, 0.23, 30.44, 86.09
11, 0.01, 1744.98, 0.23, 30.45, 86.09
11, 0.01, 1744.98, 0.23, 30.44, 86.08
11, 0.01, 1744.98, 0.23, 30.47, 86.08
11, 0.01, 1744.98, 0.23, 30.47, 86.08
11, 0.01, 1744.98, 0.23, 30.47, 86.06
11, 0.01, 1744.98, 0.23, 30.48, 86.09
11, 0.01, 1744.98, 0.23, 30.47, 86.06
11, 0.01, 1744.98, 0.23, 30.49, 86.08
11, 0.01, 1744.98, 0.23, 30.49, 86.06
11, 0.01, 1744.98, 0.23, 30.50, 86.05
11, 0.01, 1744.98, 0.23, 30.51, 86.05
11, 0.01, 1744.98, 0.23, 30.51, 86.02
11, 0.01, 1744.98, 0.23, 30.52, 86.01
11, 0.01, 1744.98, 0.23, 30.53, 85.98
11, 0.01, 1744.98, 0.23, 30.54, 85.97
11, 0.01, 1744.98, 0.23, 30.54, 85.99
11, 0.01, 1744.98, 0.23, 30.54, 86.00
11, 0.01, 1744.98, 0.23, 30.56, 86.01
11, 0.01, 1744.98, 0.23, 30.55, 85.99
11, 0.01, 1744.98, 0.23, 30.56, 86.00
11, 0.01, 1744.98, 0.23, 30.56, 85.97
11, 0.01, 1744.98, 0.23, 30.58, 85.96
11, 0.01, 1744.98, 0.23, 30.58, 86.00
11, 0.01, 1744.98, 0.23, 30.58, 85.95
11, 0.01, 1744.98, 0.23, 30.60, 85.95
11, 0.01, 1744.98, 0.23, 30.60, 85.93
11, 0.01, 1744.98, 0.23, 30.60, 85.93
11, 0.01, 1744.98, 0.23, 30.62, 85.95
11, 0.01, 1744.98, 0.23, 30.61, 85.93
11, 0.01, 1744.98, 0.23, 30.63, 85.93
11, 0.01, 1744.98, 0.23, 30.63, 85.91
11, 0.01, 1744.98, 0.23, 30.63, 85.90
12, 0.01, 1599.17, 0.26, 30.64, 85.93
11, 0.01, 1744.98, 0.23, 30.65, 85.91
11, 0.01, 1744.98, 0.23, 30.65, 85.89
12, 0.01, 1599.17, 0.26, 30.65, 85.89
11, 0.01, 1744.98, 0.23, 30.66, 85.90
11, 0.01, 1744.98, 0.23, 30.66, 85.91
12, 0.01, 1599.17, 0.26, 30.66, 85.90
11, 0.01, 1744.98, 0.23, 30.68, 85.88
12, 0.01, 1599.17, 0.26, 30.68, 85.92
11, 0.01, 1744.98, 0.23, 30.68, 85.86
11, 0.01, 1744.98, 0.23, 30.69, 85.86
11, 0.01, 1744.98, 0.23, 30.69, 85.87
11, 0.01, 1744.98, 0.23, 30.72, 85.88
11, 0.01, 1744.98, 0.23, 30.71, 85.85
11, 0.01, 1744.98, 0.23, 30.72, 85.85
11, 0.01, 1744.98, 0.23, 30.73, 85.86
11, 0.01, 1744.98, 0.23, 30.73, 85.81
11, 0.01, 1744.98, 0.23, 30.74, 85.83
11, 0.01, 1744.98, 0.23, 30.75, 85.85
11, 0.01, 1744.98, 0.23, 30.75, 85.83
11, 0.01, 1744.98, 0.23, 30.76, 85.81
11, 0.01, 1744.98, 0.23, 30.75, 85.83
11, 0.01, 1744.98, 0.23, 30.76, 85.82
11, 0.01, 1744.98, 0.23, 30.77, 85.81
11, 0.01, 1744.98, 0.23, 30.78, 85.81
11, 0.01, 1744.98, 0.23, 30.79, 85.82
11, 0.01, 1744.98, 0.23, 30.79, 85.81
11, 0.01, 1744.98, 0.23, 30.80, 85.81
11, 0.01, 1744.98, 0.23, 30.80, 85.80
11, 0.01, 1744.98, 0.23, 30.82, 85.81
11, 0.01, 1744.98, 0.23, 30.82, 85.78
11, 0.01, 1744.98, 0.23, 30.83, 85.81
11, 0.01, 1744.98, 0.23, 30.83, 85.78
12, 0.01, 1599.17, 0.26, 30.84, 85.73
12, 0.01, 1599.17, 0.26, 30.84, 85.77
14, 0.02, 1370.05, 0.33, 30.85, 85.79
12, 0.01, 1599.17, 0.26, 30.85, 85.77
12, 0.01, 1599.17, 0.26, 30.86, 85.76
12, 0.01, 1599.17, 0.26, 30.85, 85.75
12, 0.01, 1599.17, 0.26, 30.86, 85.73
12, 0.01, 1599.17, 0.26, 30.87, 85.70
14, 0.02, 1370.05, 0.33, 30.88, 85.71
12, 0.01, 1599.17, 0.26, 30.90, 85.70
12, 0.01, 1599.17, 0.26, 30.88, 85.69
12, 0.01, 1599.17, 0.26, 30.90, 85.72
14, 0.02, 1370.05, 0.33, 30.90, 85.71
12, 0.01, 1599.17, 0.26, 30.91, 85.71
12, 0.01, 1599.17, 0.26, 30.91, 85.69
12, 0.01, 1599.17, 0.26, 30.93, 85.69
12, 0.01, 1599.17, 0.26, 30.93, 85.70
12, 0.01, 1599.17, 0.26, 30.94, 85.68
12, 0.01, 1599.17, 0.26, 30.95, 85.67
12, 0.01, 1599.17, 0.26, 30.94, 85.72
12, 0.01, 1599.17, 0.26, 30.96, 85.66
12, 0.01, 1599.17, 0.26, 30.96, 85.64
12, 0.01, 1599.17, 0.26, 30.97, 85.66
12, 0.01, 1599.17, 0.26, 30.97, 85.66
12, 0.01, 1599.17, 0.26, 30.98, 85.62
12, 0.01, 1599.17, 0.26, 30.99, 85.61
12, 0.01, 1599.17, 0.26, 31.00, 85.63
12, 0.01, 1599.17, 0.26, 30.99, 85.62
12, 0.01, 1599.17, 0.26, 31.01, 85.60
12, 0.01, 1599.17, 0.26, 31.01, 85.59
12, 0.01, 1599.17, 0.26, 31.01, 85.61
12, 0.01, 1599.17, 0.26, 31.01, 85.67
12, 0.01, 1599.17, 0.26, 31.01, 85.58
12, 0.01, 1599.17, 0.26, 31.03, 85.57
12, 0.01, 1599.17, 0.26, 31.03, 85.59
12, 0.01, 1599.17, 0.26, 31.03, 85.58
12, 0.01, 1599.17, 0.26, 31.06, 85.55
12, 0.01, 1599.17, 0.26, 31.05, 85.57
12, 0.01, 1599.17, 0.26, 31.05, 85.54
12, 0.01, 1599.17, 0.26, 31.06, 85.53
12, 0.01, 1599.17, 0.26, 31.08, 85.53
12, 0.01, 1599.17, 0.26, 31.07, 85.51
12, 0.01, 1599.17, 0.26, 31.08, 85.50
12, 0.01, 1599.17, 0.26, 31.09, 85.50
13, 0.02, 1475.80, 0.29, 31.10, 85.49
12, 0.01, 1599.17, 0.26, 31.09, 85.50
12, 0.01, 1599.17, 0.26, 31.10, 85.52
12, 0.01, 1599.17, 0.26, 31.10, 85.48
12, 0.01, 1599.17, 0.26, 31.10, 85.50
12, 0.01, 1599.17, 0.26, 31.13, 85.47
12, 0.01, 1599.17, 0.26, 31.13, 85.48
12, 0.01, 1599.17, 0.26, 31.14, 85.46
12, 0.01, 1599.17, 0.26, 31.14, 85.44
12, 0.01, 1599.17, 0.26, 31.15, 85.45
12, 0.01, 1599.17, 0.26, 31.16, 85.45
12, 0.01, 1599.17, 0.26, 31.16, 85.44
12, 0.01, 1599.17, 0.26, 31.16, 85.40
12, 0.01, 1599.17, 0.26, 31.16, 85.44
12, 0.01, 1599.17, 0.26, 31.17, 85.41
12, 0.01, 1599.17, 0.26, 31.16, 85.42
12, 0.01, 1599.17, 0.26, 31.17, 85.44
12, 0.01, 1599.17, 0.26, 31.19, 85.43
12, 0.01, 1599.17, 0.26, 31.19, 85.42
12, 0.01, 1599.17, 0.26, 31.19, 85.40
12, 0.01, 1599.17, 0.26, 31.20, 85.41
12, 0.01, 1599.17, 0.26, 31.21, 85.37
12, 0.01, 1599.17, 0.26, 31.22, 85.38
12, 0.01, 1599.17, 0.26, 31.22, 85.36
12, 0.01, 1599.17, 0.26, 31.23, 85.37
12, 0.01, 1599.17, 0.26, 31.23, 85.37
12, 0.01, 1599.17, 0.26, 31.24, 85.37
12, 0.01, 1599.17, 0.26, 31.24, 85.38
12, 0.01, 1599.17, 0.26, 31.25, 85.35
12, 0.01, 1599.17, 0.26, 31.25, 85.35
12, 0.01, 1599.17, 0.26, 31.27, 85.35
12, 0.01, 1599.17, 0.26, 31.25, 85.32
12, 0.01, 1599.17, 0.26, 31.26, 85.35
12, 0.01, 1599.17, 0.26, 31.27, 85.35
12, 0.01, 1599.17, 0.26, 31.28, 85.36
12, 0.01, 1599.17, 0.26, 31.29, 85.33
12, 0.01, 1599.17, 0.26, 31.29, 85.33
12, 0.01, 1599.17, 0.26, 31.30, 85.32
12, 0.01, 1599.17, 0.26, 31.30, 85.31
12, 0.01, 1599.17, 0.26, 31.32, 85.31
12, 0.01, 1599.17, 0.26, 31.31, 85.27
12, 0.01, 1599.17, 0.26, 31.32, 85.28
12, 0.01, 1599.17, 0.26, 31.32, 85.30
12, 0.01, 1599.17, 0.26, 31.34, 85.30
12, 0.01, 1599.17, 0.26, 31.34, 85.28
12, 0.01, 1599.17, 0.26, 31.35, 85.28
12, 0.01, 1599.17, 0.26, 31.35, 85.26
12, 0.01, 1599.17, 0.26, 31.35, 85.25
12, 0.01, 1599.17, 0.26, 31.36, 85.25
12, 0.01, 1599.17, 0.26, 31.36, 85.28
12, 0.01, 1599.17, 0.26, 31.36, 85.30
15, 0.02, 1278.40, 0.36, 31.37, 85.28
14, 0.02, 1370.05, 0.33, 31.37, 85.26
14, 0.02, 1370.05, 0.33, 31.38, 85.27
12, 0.01, 1599.17, 0.26, 31.39, 85.26
12, 0.01, 1599.17, 0.26, 31.39, 85.21
12, 0.01, 1599.17, 0.26, 31.39, 85.22
12, 0.01, 1599.17, 0.26, 31.40, 85.22
12, 0.01, 1599.17, 0.26, 31.42, 85.22
11, 0.01, 1744.98, 0.23, 31.42, 85.20
12, 0.01, 1599.17, 0.26, 31.42, 85.18
11, 0.01, 1744.98, 0.23, 31.43, 85.22
11, 0.01, 1744.98, 0.23, 31.43, 85.21
11, 0.01, 1744.98, 0.23, 31.44, 85.20
12, 0.01, 1599.17, 0.26, 31.44, 85.20
11, 0.01, 1744.98, 0.23, 31.44, 85.18
11, 0.01, 1744.98, 0.23, 31.46, 85.17
11, 0.01, 1744.98, 0.23, 31.45, 85.19
11, 0.01, 1744.98, 0.23, 31.46, 85.18
14, 0.02, 1370.05, 0.33, 31.46, 85.18
12, 0.01, 1599.17, 0.26, 31.47, 85.19
12, 0.01, 1599.17, 0.26, 31.47, 85.17
12, 0.01, 1599.17, 0.26, 31.48, 85.18
11, 0.01, 1744.98, 0.23, 31.48, 85.18
11, 0.01, 1744.98, 0.23, 31.49, 85.17
11, 0.01, 1744.98, 0.23, 31.50, 85.14
11, 0.01, 1744.98, 0.23, 31.51, 85.17
11, 0.01, 1744.98, 0.23, 31.50, 85.14
11, 0.01, 1744.98, 0.23, 31.51, 85.15
11, 0.01, 1744.98, 0.23, 31.51, 85.11
11, 0.01, 1744.98, 0.23, 31.52, 85.11
11, 0.01, 1744.98, 0.23, 31.52, 85.13
11, 0.01, 1744.98, 0.23, 31.52, 85.17
11, 0.01, 1744.98, 0.23, 31.53, 85.17
11, 0.01, 1744.98, 0.23, 31.53, 85.17
12, 0.01, 1599.17, 0.26, 31.54, 85.18
11, 0.01, 1744.98, 0.23, 31.55, 85.14
10, 0.01, 1919.95, 0.19, 31.54, 85.16
10, 0.01, 1919.95, 0.19, 31.56, 85.14
10, 0.01, 1919.95, 0.19, 31.56, 85.13
10, 0.01, 1919.95, 0.19, 31.57, 85.12
11, 0.01, 1744.98, 0.23, 31.56, 85.12
11, 0.01, 1744.98, 0.23, 31.58, 85.13
11, 0.01, 1744.98, 0.23, 31.57, 85.11
11, 0.01, 1744.98, 0.23, 31.57, 85.13
11, 0.01, 1744.98, 0.23, 31.58, 85.10
11, 0.01, 1744.98, 0.23, 31.60, 85.13
11, 0.01, 1744.98, 0.23, 31.60, 85.10
11, 0.01, 1744.98, 0.23, 31.61, 85.10
11, 0.01, 1744.98, 0.23, 31.61, 85.10
11, 0.01, 1744.98, 0.23, 31.62, 85.08
11, 0.01, 1744.98, 0.23, 31.61, 85.07
11, 0.01, 1744.98, 0.23, 31.64, 85.09
11, 0.01, 1744.98, 0.23, 31.61, 85.10
11, 0.01, 1744.98, 0.23, 31.64, 85.08
11, 0.01, 1744.98, 0.23, 31.62, 85.13
11, 0.01, 1744.98, 0.23, 31.64, 85.10
11, 0.01, 1744.98, 0.23, 31.64, 85.08
11, 0.01, 1744.98, 0.23, 31.64, 85.10
11, 0.01, 1744.98, 0.23, 31.64, 85.09
11, 0.01, 1744.98, 0.23, 31.66, 85.05
11, 0.01, 1744.98, 0.23, 31.65, 85.08
12, 0.01, 1599.17, 0.26, 31.66, 85.06
12, 0.01, 1599.17, 0.26, 31.66, 85.10
12, 0.01, 1599.17, 0.26, 31.69, 85.05
12, 0.01, 1599.17, 0.26, 31.69, 85.06
12, 0.01, 1599.17, 0.26, 31.68, 85.04
12, 0.01, 1599.17, 0.26, 31.68, 85.06
12, 0.01, 1599.17, 0.26, 31.70, 85.07
12, 0.01, 1599.17, 0.26, 31.70, 85.04
12, 0.01, 1599.17, 0.26, 31.70, 85.03
12, 0.01, 1599.17, 0.26, 31.71, 85.08
12, 0.01, 1599.17, 0.26, 31.71, 85.04
12, 0.01, 1599.17, 0.26, 31.72, 85.03
12, 0.01, 1599.17, 0.26, 31.72, 85.02
12, 0.01, 1599.17, 0.26, 31.71, 85.01
12, 0.01, 1599.17, 0.26, 31.73, 85.01
12, 0.01, 1599.17, 0.26, 31.73, 85.01
12, 0.01, 1599.17, 0.26, 31.74, 85.03
12, 0.01, 1599.17, 0.26, 31.74, 85.05
12, 0.01, 1599.17, 0.26, 31.74, 85.01
12, 0.01, 1599.17, 0.26, 31.72, 85.00
12, 0.01, 1599.17, 0.26, 31.76, 85.01
12, 0.01, 1599.17, 0.26, 31.75, 85.01
12, 0.01, 1599.17, 0.26, 31.76, 84.99
12, 0.01, 1599.17, 0.26, 31.77, 85.00
12, 0.01, 1599.17, 0.26, 31.78, 84.97
12, 0.01, 1599.17, 0.26, 31.77, 84.99
12, 0.01, 1599.17, 0.26, 31.78, 85.02
12, 0.01, 1599.17, 0.26, 31.78, 84.96
12, 0.01, 1599.17, 0.26, 31.79, 85.01
12, 0.01, 1599.17, 0.26, 31.79, 85.00
12, 0.01, 1599.17, 0.26, 31.81, 84.99
12, 0.01, 1599.17, 0.26, 31.81, 84.96
12, 0.01, 1599.17, 0.26, 31.80, 84.98
12, 0.01, 1599.17, 0.26, 31.79, 84.98
12, 0.01, 1599.17, 0.26, 31.82, 84.95
12, 0.01, 1599.17, 0.26, 31.81, 84.97
12, 0.01, 1599.17, 0.26, 31.81, 84.97
12, 0.01, 1599.17, 0.26, 31.81, 84.97
12, 0.01, 1599.17, 0.26, 31.82, 84.96
15, 0.02, 1278.40, 0.36, 31.83, 84.97
13, 0.02, 1475.80, 0.29, 31.84, 84.94
12, 0.01, 1599.17, 0.26, 31.85, 84.92
12, 0.01, 1599.17, 0.26, 31.85, 84.95
12, 0.01, 1599.17, 0.26, 31.85, 84.94
12, 0.01, 1599.17, 0.26, 31.85, 84.95
12, 0.01, 1599.17, 0.26, 31.86, 84.92
12, 0.01, 1599.17, 0.26, 31.87, 84.91
12, 0.01, 1599.17, 0.26, 31.87, 84.89
12, 0.01, 1599.17, 0.26, 31.87, 84.92
12, 0.01, 1599.17, 0.26, 31.88, 84.91
12, 0.01, 1599.17, 0.26, 31.89, 84.90
12, 0.01, 1599.17, 0.26, 31.89, 84.90
12, 0.01, 1599.17, 0.26, 31.88, 84.90
12, 0.01, 1599.17, 0.26, 31.89, 84.87
13, 0.02, 1475.80, 0.29, 31.89, 84.89
12, 0.01, 1599.17, 0.26, 31.90, 84.91
13, 0.02, 1475.80, 0.29, 31.92, 84.90
13, 0.02, 1475.80, 0.29, 31.91, 84.90
13, 0.02, 1475.80, 0.29, 31.90, 84.88
13, 0.02, 1475.80, 0.29, 31.91, 84.90
13, 0.02, 1475.80, 0.29, 31.92, 84.90
13, 0.02, 1475.80, 0.29, 31.92, 84.86
13, 0.02, 1475.80, 0.29, 31.94, 84.86
13, 0.02, 1475.80, 0.29, 31.94, 84.85
13, 0.02, 1475.80, 0.29, 31.95, 84.85
13, 0.02, 1475.80, 0.29, 31.94, 84.84
13, 0.02, 1475.80, 0.29, 31.95, 84.83
13, 0.02, 1475.80, 0.29, 31.95, 84.84
13, 0.02, 1475.80, 0.29, 31.96, 84.83
16, 0.02, 1198.21, 0.40, 31.97, 84.82
16, 0.02, 1198.21, 0.40, 31.96, 84.81
16, 0.02, 1198.21, 0.40, 31.96, 84.84
15, 0.02, 1278.40, 0.36, 31.97, 84.81
13, 0.02, 1475.80, 0.29, 31.99, 84.80
13, 0.02, 1475.80, 0.29, 31.99, 84.77
13, 0.02, 1475.80, 0.29, 31.99, 84.77
13, 0.02, 1475.80, 0.29, 31.99, 84.79
13, 0.02, 1475.80, 0.29, 31.99, 84.78
13, 0.02, 1475.80, 0.29, 31.99, 84.76
13, 0.02, 1475.80, 0.29, 32.00, 84.80
13, 0.02, 1475.80, 0.29, 32.00, 84.77
13, 0.02, 1475.80, 0.29, 32.00, 84.78
13, 0.02, 1475.80, 0.29, 32.00, 84.74
13, 0.02, 1475.80, 0.29, 32.00, 84.76
13, 0.02, 1475.80, 0.29, 32.02, 84.75
13, 0.02, 1475.80, 0.29, 32.02, 84.74
13, 0.02, 1475.80, 0.29, 32.03, 84.71
13, 0.02, 1475.80, 0.29, 32.04, 84.71
13, 0.02, 1475.80, 0.29, 32.05, 84.70
13, 0.02, 1475.80, 0.29, 32.04, 84.70
13, 0.02, 1475.80, 0.29, 32.04, 84.70
13, 0.02, 1475.80, 0.29, 32.05, 84.69
13, 0.02, 1475.80, 0.29, 32.06, 84.68
13, 0.02, 1475.80, 0.29, 32.05, 84.66
13, 0.02, 1475.80, 0.29, 32.06, 84.67
13, 0.02, 1475.80, 0.29, 32.07, 84.65
13, 0.02, 1475.80, 0.29, 32.07, 84.69
13, 0.02, 1475.80, 0.29, 32.08, 84.66
13, 0.02, 1475.80, 0.29, 32.08, 84.66
13, 0.02, 1475.80, 0.29, 32.07, 84.66
13, 0.02, 1475.80, 0.29, 32.08, 84.65
13, 0.02, 1475.80, 0.29, 32.09, 84.62
14, 0.02, 1370.05, 0.33, 32.09, 84.65
