Arduino: Pronto para conectar. Aguardando 'START' do PC...
Arduino: Timeout! Nao recebeu 'START'. Reiniciando...
---------- INICIANDO SENSOR ALCOHOL 3 ---------
ValorADC, Tensao [V], Resistencia [kOhm], Etanol [ppm], T [ºC], Humidade [%]
12, 0.01, 1599.17, 0.26, 28.66, 79.67
12, 0.01, 1599.17, 0.26, 28.66, 79.66
12, 0.01, 1599.17, 0.26, 28.64, 79.66
12, 0.01, 1599.17, 0.26, 28.65, 79.65
12, 0.01, 1599.17, 0.26, 28.64, 79.68
12, 0.01, 1599.17, 0.26, 28.66, 79.63
12, 0.01, 1599.17, 0.26, 28.64, 79.59
12, 0.01, 1599.17, 0.26, 28.64, 79.57
12, 0.01, 1599.17, 0.26, 28.65, 79.54
12, 0.01, 1599.17, 0.26, 28.64, 79.52
12, 0.01, 1599.17, 0.26, 28.65, 79.47
12, 0.01, 1599.17, 0.26, 28.65, 79.48
12, 0.01, 1599.17, 0.26, 28.66, 79.47
12, 0.01, 1599.17, 0.26, 28.65, 79.60
12, 0.01, 1599.17, 0.26, 28.64, 79.61
12, 0.01, 1599.17, 0.26, 28.65, 79.70
12, 0.01, 1599.17, 0.26, 28.65, 79.65
12, 0.01, 1599.17, 0.26, 28.66, 79.66
12, 0.01, 1599.17, 0.26, 28.67, 79.61
12, 0.01, 1599.17, 0.26, 28.65, 79.65
12, 0.01, 1599.17, 0.26, 28.65, 79.68
12, 0.01, 1599.17, 0.26, 28.67, 79.64
12, 0.01, 1599.17, 0.26, 28.67, 79.59
12, 0.01, 1599.17, 0.26, 28.67, 79.64
12, 0.01, 1599.17, 0.26, 28.67, 79.62
12, 0.01, 1599.17, 0.26, 28.69, 79.59
12, 0.01, 1599.17, 0.26, 28.68, 79.55
12, 0.01, 1599.17, 0.26, 28.69, 79.51
12, 0.01, 1599.17, 0.26, 28.69, 79.49
12, 0.01, 1599.17, 0.26, 28.69, 79.48
12, 0.01, 1599.17, 0.26, 28.68, 79.52
12, 0.01, 1599.17, 0.26, 28.69, 79.50
12, 0.01, 1599.17, 0.26, 28.69, 79.50
12, 0.01, 1599.17, 0.26, 28.70, 79.47
12, 0.01, 1599.17, 0.26, 28.68, 79.45
12, 0.01, 1599.17, 0.26, 28.69, 79.44
12, 0.01, 1599.17, 0.26, 28.69, 79.39
12, 0.01, 1599.17, 0.26, 28.70, 79.35
12, 0.01, 1599.17, 0.26, 28.69, 79.37
12, 0.01, 1599.17, 0.26, 28.67, 79.39
12, 0.01, 1599.17, 0.26, 28.66, 79.38
12, 0.01, 1599.17, 0.26, 28.67, 79.38
12, 0.01, 1599.17, 0.26, 28.68, 79.30
12, 0.01, 1599.17, 0.26, 28.67, 79.28
12, 0.01, 1599.17, 0.26, 28.67, 79.29
12, 0.01, 1599.17, 0.26, 28.68, 79.34
12, 0.01, 1599.17, 0.26, 28.68, 79.34
12, 0.01, 1599.17, 0.26, 28.68, 79.32
12, 0.01, 1599.17, 0.26, 28.69, 79.30
12, 0.01, 1599.17, 0.26, 28.70, 79.26
12, 0.01, 1599.17, 0.26, 28.69, 79.26
12, 0.01, 1599.17, 0.26, 28.69, 79.30
12, 0.01, 1599.17, 0.26, 28.70, 79.30
12, 0.01, 1599.17, 0.26, 28.70, 79.24
12, 0.01, 1599.17, 0.26, 28.68, 79.21
12, 0.01, 1599.17, 0.26, 28.70, 79.23
12, 0.01, 1599.17, 0.26, 28.69, 79.24
12, 0.01, 1599.17, 0.26, 28.70, 79.27
12, 0.01, 1599.17, 0.26, 28.70, 79.28
12, 0.01, 1599.17, 0.26, 28.71, 79.26
12, 0.01, 1599.17, 0.26, 28.72, 79.23
12, 0.01, 1599.17, 0.26, 28.71, 79.22
12, 0.01, 1599.17, 0.26, 28.69, 79.20
12, 0.01, 1599.17, 0.26, 28.72, 79.64
12, 0.01, 1599.17, 0.26, 28.72, 79.39
12, 0.01, 1599.17, 0.26, 28.71, 79.25
12, 0.01, 1599.17, 0.26, 28.70, 79.20
12, 0.01, 1599.17, 0.26, 28.70, 79.24
12, 0.01, 1599.17, 0.26, 28.70, 79.28
12, 0.01, 1599.17, 0.26, 28.69, 79.34
12, 0.01, 1599.17, 0.26, 28.68, 79.33
12, 0.01, 1599.17, 0.26, 28.68, 79.38
12, 0.01, 1599.17, 0.26, 28.69, 79.35
12, 0.01, 1599.17, 0.26, 28.64, 79.30
12, 0.01, 1599.17, 0.26, 28.66, 79.29
12, 0.01, 1599.17, 0.26, 28.66, 79.31
12, 0.01, 1599.17, 0.26, 28.63, 79.30
12, 0.01, 1599.17, 0.26, 28.61, 79.31
12, 0.01, 1599.17, 0.26, 28.62, 79.30
12, 0.01, 1599.17, 0.26, 28.61, 79.27
12, 0.01, 1599.17, 0.26, 28.60, 79.25
12, 0.01, 1599.17, 0.26, 28.59, 79.29
12, 0.01, 1599.17, 0.26, 28.63, 79.24
12, 0.01, 1599.17, 0.26, 28.63, 79.19
12, 0.01, 1599.17, 0.26, 28.64, 79.16
12, 0.01, 1599.17, 0.26, 28.65, 79.13
12, 0.01, 1599.17, 0.26, 28.65, 79.10
12, 0.01, 1599.17, 0.26, 28.66, 79.09
12, 0.01, 1599.17, 0.26, 28.66, 79.09
12, 0.01, 1599.17, 0.26, 28.64, 79.09
12, 0.01, 1599.17, 0.26, 28.64, 79.08
12, 0.01, 1599.17, 0.26, 28.65, 79.09
12, 0.01, 1599.17, 0.26, 28.61, 79.04
12, 0.01, 1599.17, 0.26, 28.64, 79.09
12, 0.01, 1599.17, 0.26, 28.63, 79.07
12, 0.01, 1599.17, 0.26, 28.63, 79.04
12, 0.01, 1599.17, 0.26, 28.59, 79.03
12, 0.01, 1599.17, 0.26, 28.60, 79.04
12, 0.01, 1599.17, 0.26, 28.60, 79.06
12, 0.01, 1599.17, 0.26, 28.60, 79.00
12, 0.01, 1599.17, 0.26, 28.62, 78.94
12, 0.01, 1599.17, 0.26, 28.63, 78.94
12, 0.01, 1599.17, 0.26, 28.61, 78.90
12, 0.01, 1599.17, 0.26, 28.61, 78.95
12, 0.01, 1599.17, 0.26, 28.63, 78.92
12, 0.01, 1599.17, 0.26, 28.63, 78.88
12, 0.01, 1599.17, 0.26, 28.64, 78.84
12, 0.01, 1599.17, 0.26, 28.65, 78.82
12, 0.01, 1599.17, 0.26, 28.67, 78.80
12, 0.01, 1599.17, 0.26, 28.65, 78.76
12, 0.01, 1599.17, 0.26, 28.65, 78.83
12, 0.01, 1599.17, 0.26, 28.65, 78.82
12, 0.01, 1599.17, 0.26, 28.61, 78.80
12, 0.01, 1599.17, 0.26, 28.61, 78.77
12, 0.01, 1599.17, 0.26, 28.64, 78.72
12, 0.01, 1599.17, 0.26, 28.61, 78.74
12, 0.01, 1599.17, 0.26, 28.63, 78.72
12, 0.01, 1599.17, 0.26, 28.62, 78.76
12, 0.01, 1599.17, 0.26, 28.64, 78.73
12, 0.01, 1599.17, 0.26, 28.62, 78.78
12, 0.01, 1599.17, 0.26, 28.62, 78.77
12, 0.01, 1599.17, 0.26, 28.61, 78.72
12, 0.01, 1599.17, 0.26, 28.61, 78.74
12, 0.01, 1599.17, 0.26, 28.59, 78.69
12, 0.01, 1599.17, 0.26, 28.62, 78.68
12, 0.01, 1599.17, 0.26, 28.65, 78.69
12, 0.01, 1599.17, 0.26, 28.60, 78.67
12, 0.01, 1599.17, 0.26, 28.62, 78.68
12, 0.01, 1599.17, 0.26, 28.62, 78.69
12, 0.01, 1599.17, 0.26, 28.61, 78.68
12, 0.01, 1599.17, 0.26, 28.62, 78.66
12, 0.01, 1599.17, 0.26, 28.63, 78.65
12, 0.01, 1599.17, 0.26, 28.64, 78.58
12, 0.01, 1599.17, 0.26, 28.63, 78.60
12, 0.01, 1599.17, 0.26, 28.62, 78.56
12, 0.01, 1599.17, 0.26, 28.66, 78.52
12, 0.01, 1599.17, 0.26, 28.63, 78.56
12, 0.01, 1599.17, 0.26, 28.62, 78.55
12, 0.01, 1599.17, 0.26, 28.63, 78.55
12, 0.01, 1599.17, 0.26, 28.65, 78.54
12, 0.01, 1599.17, 0.26, 28.65, 78.48
12, 0.01, 1599.17, 0.26, 28.64, 78.46
12, 0.01, 1599.17, 0.26, 28.63, 78.53
12, 0.01, 1599.17, 0.26, 28.65, 78.51
12, 0.01, 1599.17, 0.26, 28.64, 78.51
12, 0.01, 1599.17, 0.26, 28.64, 78.50
12, 0.01, 1599.17, 0.26, 28.64, 78.49
12, 0.01, 1599.17, 0.26, 28.64, 78.44
12, 0.01, 1599.17, 0.26, 28.67, 78.43
12, 0.01, 1599.17, 0.26, 28.66, 78.46
12, 0.01, 1599.17, 0.26, 28.62, 78.47
12, 0.01, 1599.17, 0.26, 28.63, 78.54
12, 0.01, 1599.17, 0.26, 28.61, 78.55
12, 0.01, 1599.17, 0.26, 28.63, 78.57
12, 0.01, 1599.17, 0.26, 28.62, 78.49
12, 0.01, 1599.17, 0.26, 28.66, 78.48
12, 0.01, 1599.17, 0.26, 28.65, 78.47
12, 0.01, 1599.17, 0.26, 28.65, 78.49
12, 0.01, 1599.17, 0.26, 28.66, 78.51
12, 0.01, 1599.17, 0.26, 28.66, 78.50
12, 0.01, 1599.17, 0.26, 28.61, 78.52
12, 0.01, 1599.17, 0.26, 28.60, 78.54
12, 0.01, 1599.17, 0.26, 28.58, 78.56
12, 0.01, 1599.17, 0.26, 28.55, 78.62
12, 0.01, 1599.17, 0.26, 28.56, 78.65
12, 0.01, 1599.17, 0.26, 28.59, 78.63
12, 0.01, 1599.17, 0.26, 28.62, 78.55
12, 0.01, 1599.17, 0.26, 28.64, 78.50
12, 0.01, 1599.17, 0.26, 28.64, 78.48
12, 0.01, 1599.17, 0.26, 28.65, 78.48
12, 0.01, 1599.17, 0.26, 28.62, 78.47
12, 0.01, 1599.17, 0.26, 28.58, 78.54
12, 0.01, 1599.17, 0.26, 28.59, 78.57
12, 0.01, 1599.17, 0.26, 28.59, 78.58
12, 0.01, 1599.17, 0.26, 28.60, 78.55
12, 0.01, 1599.17, 0.26, 28.61, 78.49
12, 0.01, 1599.17, 0.26, 28.62, 78.47
12, 0.01, 1599.17, 0.26, 28.64, 78.44
12, 0.01, 1599.17, 0.26, 28.63, 78.42
12, 0.01, 1599.17, 0.26, 28.61, 78.34
12, 0.01, 1599.17, 0.26, 28.58, 78.40
12, 0.01, 1599.17, 0.26, 28.58, 78.44
12, 0.01, 1599.17, 0.26, 28.60, 78.44
12, 0.01, 1599.17, 0.26, 28.59, 78.43
12, 0.01, 1599.17, 0.26, 28.58, 78.45
12, 0.01, 1599.17, 0.26, 28.59, 78.43
12, 0.01, 1599.17, 0.26, 28.59, 78.43
12, 0.01, 1599.17, 0.26, 28.59, 78.49
12, 0.01, 1599.17, 0.26, 28.60, 78.47
12, 0.01, 1599.17, 0.26, 28.60, 78.45
12, 0.01, 1599.17, 0.26, 28.60, 78.52
12, 0.01, 1599.17, 0.26, 28.59, 78.49
12, 0.01, 1599.17, 0.26, 28.61, 78.46
12, 0.01, 1599.17, 0.26, 28.59, 78.46
12, 0.01, 1599.17, 0.26, 28.62, 78.46
12, 0.01, 1599.17, 0.26, 28.60, 78.42
12, 0.01, 1599.17, 0.26, 28.60, 78.43
12, 0.01, 1599.17, 0.26, 28.62, 78.41
12, 0.01, 1599.17, 0.26, 28.58, 78.44
12, 0.01, 1599.17, 0.26, 28.60, 78.43
12, 0.01, 1599.17, 0.26, 28.59, 78.41
12, 0.01, 1599.17, 0.26, 28.61, 78.36
12, 0.01, 1599.17, 0.26, 28.57, 78.42
12, 0.01, 1599.17, 0.26, 28.60, 78.37
12, 0.01, 1599.17, 0.26, 28.61, 78.38
12, 0.01, 1599.17, 0.26, 28.62, 78.33
12, 0.01, 1599.17, 0.26, 28.61, 78.35
12, 0.01, 1599.17, 0.26, 28.61, 78.37
12, 0.01, 1599.17, 0.26, 28.60, 78.35
12, 0.01, 1599.17, 0.26, 28.60, 78.38
12, 0.01, 1599.17, 0.26, 28.60, 78.45
12, 0.01, 1599.17, 0.26, 28.63, 78.41
12, 0.01, 1599.17, 0.26, 28.63, 78.44
12, 0.01, 1599.17, 0.26, 28.65, 78.41
12, 0.01, 1599.17, 0.26, 28.57, 78.48
12, 0.01, 1599.17, 0.26, 28.57, 78.57
12, 0.01, 1599.17, 0.26, 28.61, 78.52
12, 0.01, 1599.17, 0.26, 28.59, 78.50
12, 0.01, 1599.17, 0.26, 28.57, 78.56
12, 0.01, 1599.17, 0.26, 28.60, 78.53
12, 0.01, 1599.17, 0.26, 28.57, 78.59
12, 0.01, 1599.17, 0.26, 28.60, 78.56
12, 0.01, 1599.17, 0.26, 28.62, 78.56
12, 0.01, 1599.17, 0.26, 28.57, 78.57
12, 0.01, 1599.17, 0.26, 28.55, 78.58
12, 0.01, 1599.17, 0.26, 28.52, 78.68
12, 0.01, 1599.17, 0.26, 28.55, 78.64
12, 0.01, 1599.17, 0.26, 28.52, 78.68
12, 0.01, 1599.17, 0.26, 28.53, 78.67
12, 0.01, 1599.17, 0.26, 28.56, 78.61
12, 0.01, 1599.17, 0.26, 28.54, 78.59
12, 0.01, 1599.17, 0.26, 28.58, 78.55
12, 0.01, 1599.17, 0.26, 28.60, 78.50
12, 0.01, 1599.17, 0.26, 28.55, 78.50
12, 0.01, 1599.17, 0.26, 28.52, 78.59
12, 0.01, 1599.17, 0.26, 28.55, 78.62
12, 0.01, 1599.17, 0.26, 28.52, 78.68
12, 0.01, 1599.17, 0.26, 28.51, 78.72
12, 0.01, 1599.17, 0.26, 28.54, 78.74
12, 0.01, 1599.17, 0.26, 28.56, 78.73
12, 0.01, 1599.17, 0.26, 28.58, 78.68
12, 0.01, 1599.17, 0.26, 28.57, 78.61
12, 0.01, 1599.17, 0.26, 28.56, 78.55
12, 0.01, 1599.17, 0.26, 28.56, 78.58
12, 0.01, 1599.17, 0.26, 28.52, 78.58
12, 0.01, 1599.17, 0.26, 28.54, 78.61
12, 0.01, 1599.17, 0.26, 28.56, 78.58
12, 0.01, 1599.17, 0.26, 28.56, 78.49
12, 0.01, 1599.17, 0.26, 28.57, 78.45
12, 0.01, 1599.17, 0.26, 28.57, 78.46
12, 0.01, 1599.17, 0.26, 28.60, 78.43
12, 0.01, 1599.17, 0.26, 28.59, 78.38
12, 0.01, 1599.17, 0.26, 28.59, 78.38
12, 0.01, 1599.17, 0.26, 28.59, 78.43
12, 0.01, 1599.17, 0.26, 28.59, 78.37
12, 0.01, 1599.17, 0.26, 28.56, 78.41
12, 0.01, 1599.17, 0.26, 28.59, 78.37
12, 0.01, 1599.17, 0.26, 28.54, 78.46
12, 0.01, 1599.17, 0.26, 28.52, 78.48
12, 0.01, 1599.17, 0.26, 28.55, 78.47
12, 0.01, 1599.17, 0.26, 28.57, 78.44
12, 0.01, 1599.17, 0.26, 28.59, 78.40
12, 0.01, 1599.17, 0.26, 28.60, 78.37
12, 0.01, 1599.17, 0.26, 28.62, 78.31
12, 0.01, 1599.17, 0.26, 28.59, 78.31
12, 0.01, 1599.17, 0.26, 28.58, 78.32
12, 0.01, 1599.17, 0.26, 28.58, 78.33
12, 0.01, 1599.17, 0.26, 28.61, 78.29
12, 0.01, 1599.17, 0.26, 28.61, 78.24
12, 0.01, 1599.17, 0.26, 28.59, 78.23
12, 0.01, 1599.17, 0.26, 28.59, 78.28
12, 0.01, 1599.17, 0.26, 28.59, 78.25
12, 0.01, 1599.17, 0.26, 28.59, 78.25
12, 0.01, 1599.17, 0.26, 28.59, 78.25
12, 0.01, 1599.17, 0.26, 28.59, 78.26
12, 0.01, 1599.17, 0.26, 28.55, 78.34
12, 0.01, 1599.17, 0.26, 28.54, 78.32
12, 0.01, 1599.17, 0.26, 28.55, 78.38
12, 0.01, 1599.17, 0.26, 28.55, 78.36
12, 0.01, 1599.17, 0.26, 28.57, 78.36
12, 0.01, 1599.17, 0.26, 28.58, 78.31
12, 0.01, 1599.17, 0.26, 28.57, 78.29
12, 0.01, 1599.17, 0.26, 28.59, 78.33
12, 0.01, 1599.17, 0.26, 28.57, 78.32
12, 0.01, 1599.17, 0.26, 28.56, 78.32
12, 0.01, 1599.17, 0.26, 28.58, 78.28
12, 0.01, 1599.17, 0.26, 28.54, 78.31
12, 0.01, 1599.17, 0.26, 28.54, 78.32
12, 0.01, 1599.17, 0.26, 28.51, 78.38
12, 0.01, 1599.17, 0.26, 28.54, 78.38
12, 0.01, 1599.17, 0.26, 28.57, 78.29
12, 0.01, 1599.17, 0.26, 28.56, 78.29
12, 0.01, 1599.17, 0.26, 28.56, 78.31
12, 0.01, 1599.17, 0.26, 28.54, 78.37
12, 0.01, 1599.17, 0.26, 28.57, 78.38
12, 0.01, 1599.17, 0.26, 28.58, 78.32
12, 0.01, 1599.17, 0.26, 28.56, 78.35
12, 0.01, 1599.17, 0.26, 28.56, 78.40
12, 0.01, 1599.17, 0.26, 28.56, 78.39
12, 0.01, 1599.17, 0.26, 28.56, 78.36
12, 0.01, 1599.17, 0.26, 28.47, 78.44
12, 0.01, 1599.17, 0.26, 28.51, 78.50
12, 0.01, 1599.17, 0.26, 28.51, 78.49
12, 0.01, 1599.17, 0.26, 28.53, 78.51
12, 0.01, 1599.17, 0.26, 28.54, 78.49
12, 0.01, 1599.17, 0.26, 28.50, 78.51
12, 0.01, 1599.17, 0.26, 28.49, 78.55
12, 0.01, 1599.17, 0.26, 28.53, 78.54
12, 0.01, 1599.17, 0.26, 28.51, 78.53
12, 0.01, 1599.17, 0.26, 28.55, 78.48
12, 0.01, 1599.17, 0.26, 28.58, 78.42
12, 0.01, 1599.17, 0.26, 28.57, 78.42
12, 0.01, 1599.17, 0.26, 28.56, 78.41
12, 0.01, 1599.17, 0.26, 28.54, 78.42
12, 0.01, 1599.17, 0.26, 28.49, 78.52
12, 0.01, 1599.17, 0.26, 28.50, 78.53
12, 0.01, 1599.17, 0.26, 28.49, 78.52
12, 0.01, 1599.17, 0.26, 28.51, 78.47
12, 0.01, 1599.17, 0.26, 28.51, 78.45
12, 0.01, 1599.17, 0.26, 28.52, 78.39
12, 0.01, 1599.17, 0.26, 28.52, 78.38
12, 0.01, 1599.17, 0.26, 28.50, 78.39
12, 0.01, 1599.17, 0.26, 28.54, 78.37
12, 0.01, 1599.17, 0.26, 28.52, 78.36
12, 0.01, 1599.17, 0.26, 28.53, 78.36
12, 0.01, 1599.17, 0.26, 28.55, 78.39
12, 0.01, 1599.17, 0.26, 28.55, 78.35
12, 0.01, 1599.17, 0.26, 28.53, 78.40
12, 0.01, 1599.17, 0.26, 28.53, 78.38
12, 0.01, 1599.17, 0.26, 28.54, 78.32
12, 0.01, 1599.17, 0.26, 28.51, 78.43
12, 0.01, 1599.17, 0.26, 28.52, 78.40
12, 0.01, 1599.17, 0.26, 28.49, 78.43
12, 0.01, 1599.17, 0.26, 28.43, 78.51
12, 0.01, 1599.17, 0.26, 28.40, 78.59
12, 0.01, 1599.17, 0.26, 28.37, 78.68
12, 0.01, 1599.17, 0.26, 28.41, 78.68
12, 0.01, 1599.17, 0.26, 28.44, 78.60
12, 0.01, 1599.17, 0.26, 28.45, 78.58
12, 0.01, 1599.17, 0.26, 28.49, 78.50
12, 0.01, 1599.17, 0.26, 28.49, 78.45
12, 0.01, 1599.17, 0.26, 28.52, 78.40
12, 0.01, 1599.17, 0.26, 28.47, 78.39
12, 0.01, 1599.17, 0.26, 28.49, 78.35
12, 0.01, 1599.17, 0.26, 28.42, 78.41
12, 0.01, 1599.17, 0.26, 28.45, 78.41
12, 0.01, 1599.17, 0.26, 28.49, 78.33
12, 0.01, 1599.17, 0.26, 28.52, 78.27
12, 0.01, 1599.17, 0.26, 28.52, 78.22
12, 0.01, 1599.17, 0.26, 28.44, 78.29
12, 0.01, 1599.17, 0.26, 28.49, 78.28
12, 0.01, 1599.17, 0.26, 28.48, 78.29
12, 0.01, 1599.17, 0.26, 28.48, 78.24
12, 0.01, 1599.17, 0.26, 28.48, 78.23
12, 0.01, 1599.17, 0.26, 28.48, 78.16
12, 0.01, 1599.17, 0.26, 28.49, 78.15
12, 0.01, 1599.17, 0.26, 28.50, 78.12
12, 0.01, 1599.17, 0.26, 28.51, 78.14
12, 0.01, 1599.17, 0.26, 28.49, 78.08
12, 0.01, 1599.17, 0.26, 28.46, 78.16
12, 0.01, 1599.17, 0.26, 28.44, 78.13
12, 0.01, 1599.17, 0.26, 28.44, 78.13
12, 0.01, 1599.17, 0.26, 28.45, 78.17
12, 0.01, 1599.17, 0.26, 28.45, 78.13
12, 0.01, 1599.17, 0.26, 28.39, 78.21
12, 0.01, 1599.17, 0.26, 28.42, 78.17
12, 0.01, 1599.17, 0.26, 28.41, 78.13
12, 0.01, 1599.17, 0.26, 28.45, 78.12
12, 0.01, 1599.17, 0.26, 28.43, 78.10
12, 0.01, 1599.17, 0.26, 28.39, 78.16
12, 0.01, 1599.17, 0.26, 28.39, 78.19
12, 0.01, 1599.17, 0.26, 28.37, 78.22
12, 0.01, 1599.17, 0.26, 28.38, 78.26
12, 0.01, 1599.17, 0.26, 28.41, 78.21
12, 0.01, 1599.17, 0.26, 28.41, 78.15
12, 0.01, 1599.17, 0.26, 28.39, 78.19
12, 0.01, 1599.17, 0.26, 28.36, 78.19
12, 0.01, 1599.17, 0.26, 28.39, 78.20
12, 0.01, 1599.17, 0.26, 28.39, 78.18
12, 0.01, 1599.17, 0.26, 28.39, 78.11
12, 0.01, 1599.17, 0.26, 28.42, 78.12
12, 0.01, 1599.17, 0.26, 28.39, 78.13
12, 0.01, 1599.17, 0.26, 28.41, 78.13
12, 0.01, 1599.17, 0.26, 28.42, 78.12
12, 0.01, 1599.17, 0.26, 28.37, 78.15
12, 0.01, 1599.17, 0.26, 28.36, 78.16
12, 0.01, 1599.17, 0.26, 28.33, 78.21
12, 0.01, 1599.17, 0.26, 28.30, 78.28
12, 0.01, 1599.17, 0.26, 28.29, 78.30
12, 0.01, 1599.17, 0.26, 28.34, 78.28
12, 0.01, 1599.17, 0.26, 28.33, 78.25
12, 0.01, 1599.17, 0.26, 28.37, 78.17
